waveform	Ch0		Gen	
t0	11/14/2016  20:10:35.691653		11/14/2016  20:10:35.691665	
delta t	0.000500		0.000500	

time[0]	Ch0	time[1]	Gen
11/14/2016  20:10:35.780653	2.631340E+0	11/14/2016  20:10:35.780665	-2.813726E-5
11/14/2016  20:10:35.781153	2.631340E+0	11/14/2016  20:10:35.781165	6.235948E-4
11/14/2016  20:10:35.781653	2.631666E+0	11/14/2016  20:10:35.781665	1.275327E-3
11/14/2016  20:10:35.782153	2.631992E+0	11/14/2016  20:10:35.782165	1.275327E-3
11/14/2016  20:10:35.782653	2.632318E+0	11/14/2016  20:10:35.782665	2.252925E-3
11/14/2016  20:10:35.783153	2.631340E+0	11/14/2016  20:10:35.783165	6.235948E-4
11/14/2016  20:10:35.783653	2.631666E+0	11/14/2016  20:10:35.783665	-2.813726E-5
11/14/2016  20:10:35.784153	2.631666E+0	11/14/2016  20:10:35.784165	9.494608E-4
11/14/2016  20:10:35.784653	2.631992E+0	11/14/2016  20:10:35.784665	1.601193E-3
11/14/2016  20:10:35.785153	2.631666E+0	11/14/2016  20:10:35.785165	6.235948E-4
11/14/2016  20:10:35.785653	2.631992E+0	11/14/2016  20:10:35.785665	9.494608E-4
11/14/2016  20:10:35.786153	2.632318E+0	11/14/2016  20:10:35.786165	1.601193E-3
11/14/2016  20:10:35.786653	2.632643E+0	11/14/2016  20:10:35.786665	9.494608E-4
11/14/2016  20:10:35.787153	2.631992E+0	11/14/2016  20:10:35.787165	1.275327E-3
11/14/2016  20:10:35.787653	2.631666E+0	11/14/2016  20:10:35.787665	2.977288E-4
11/14/2016  20:10:35.788153	2.631666E+0	11/14/2016  20:10:35.788165	2.977288E-4
11/14/2016  20:10:35.788653	2.632318E+0	11/14/2016  20:10:35.788665	9.494608E-4
11/14/2016  20:10:35.789153	2.631992E+0	11/14/2016  20:10:35.789165	6.235948E-4
11/14/2016  20:10:35.789653	2.632318E+0	11/14/2016  20:10:35.789665	9.494608E-4
11/14/2016  20:10:35.790153	2.631666E+0	11/14/2016  20:10:35.790165	-2.813726E-5
11/14/2016  20:10:35.790653	2.632969E+0	11/14/2016  20:10:35.790665	6.235948E-4
11/14/2016  20:10:35.791153	2.631992E+0	11/14/2016  20:10:35.791165	6.235948E-4
11/14/2016  20:10:35.791653	2.631992E+0	11/14/2016  20:10:35.791665	2.977288E-4
11/14/2016  20:10:35.792153	2.631340E+0	11/14/2016  20:10:35.792165	2.977288E-4
11/14/2016  20:10:35.792653	2.632318E+0	11/14/2016  20:10:35.792665	9.494608E-4
11/14/2016  20:10:35.793153	2.632318E+0	11/14/2016  20:10:35.793165	9.494608E-4
11/14/2016  20:10:35.793653	2.633295E+0	11/14/2016  20:10:35.793665	9.494608E-4
11/14/2016  20:10:35.794153	2.632318E+0	11/14/2016  20:10:35.794165	2.977288E-4
11/14/2016  20:10:35.794653	2.632318E+0	11/14/2016  20:10:35.794665	6.235948E-4
11/14/2016  20:10:35.795153	2.631666E+0	11/14/2016  20:10:35.795165	6.235948E-4
11/14/2016  20:10:35.795653	2.631992E+0	11/14/2016  20:10:35.795665	2.977288E-4
11/14/2016  20:10:35.796153	2.631666E+0	11/14/2016  20:10:35.796165	6.235948E-4
11/14/2016  20:10:35.796653	2.632318E+0	11/14/2016  20:10:35.796665	9.494608E-4
11/14/2016  20:10:35.797153	2.632318E+0	11/14/2016  20:10:35.797165	9.494608E-4
11/14/2016  20:10:35.797653	2.632969E+0	11/14/2016  20:10:35.797665	1.275327E-3
